Sample,location,Species
d,AgriBio Bundoora,B. tryoni
e,AgriBio Bundoora,B. tryoni
f,AgriBio Bundoora,B. tryoni
1037b,Bairnsdale Victoria,B. tryoni
1111a,Bairnsdale Victoria,B. tryoni
1111b,Bairnsdale Victoria,B. tryoni
1111c,Bairnsdale Victoria,B. tryoni
1111d,Bairnsdale Victoria,B. tryoni
1111e,Bairnsdale Victoria,B. tryoni
1112a,Bairnsdale Victoria,B. tryoni
1115a,Bairnsdale Victoria,B. tryoni
1119a,Bairnsdale Victoria,B. tryoni
1263a,Bairnsdale Victoria,B. tryoni
874b,Bairnsdale Victoria,B. tryoni
916a,Bairnsdale Victoria,B. tryoni
917a,Bairnsdale Victoria,B. tryoni
1061a,Eagle Point Victoria,B. tryoni
1116a,Eagle Point Victoria,B. tryoni
1118a,Eagle Point Victoria,B. tryoni
1334a,Eagle Point Victoria,B. tryoni
1335a,Eagle Point Victoria,B. tryoni
1336a,Eagle Point Victoria,B. tryoni
1337a,Eagle Point Victoria,B. tryoni
1352a,Eagle Point Victoria,B. tryoni
942a,Eagle Point Victoria,B. tryoni
563a,Lakes Entrance Victoria,B. tryoni
564b,Lakes Entrance Victoria,B. tryoni
564c,Lakes Entrance Victoria,B. tryoni
564d,Lakes Entrance Victoria,B. tryoni
565a,Lakes Entrance Victoria,B. tryoni
565b,Lakes Entrance Victoria,B. tryoni
554a,Marlo Victoria,B. tryoni
554b,Marlo Victoria,B. tryoni
554c,Marlo Victoria,B. tryoni
554d,Marlo Victoria,B. tryoni
555a,Marlo Victoria,B. tryoni
556a,Marlo Victoria,B. tryoni
557a,Marlo Victoria,B. tryoni
557b,Marlo Victoria,B. tryoni
557c,Marlo Victoria,B. tryoni
557d,Marlo Victoria,B. tryoni
557e,Marlo Victoria,B. tryoni
557f,Marlo Victoria,B. tryoni
558a,Orbost Victoria,B. tryoni
559a,Orbost Victoria,B. tryoni
560a,Orbost Victoria,B. tryoni
560b,Orbost Victoria,B. tryoni
560c,Orbost Victoria,B. tryoni
560d,Orbost Victoria,B. tryoni
560e,Orbost Victoria,B. tryoni
561a,Orbost Victoria,B. tryoni
561b,Orbost Victoria,B. tryoni
561c,Orbost Victoria,B. tryoni
1035a,Sale Victoria,B. tryoni
1035d,Sale Victoria,B. tryoni
1059b,Sale Victoria,B. tryoni
1059c,Sale Victoria,B. tryoni
1059d,Sale Victoria,B. tryoni
1340a,Sale Victoria,B. tryoni
1343a,Sale Victoria,B. tryoni
1344a,Sale Victoria,B. tryoni
1345a,Sale Victoria,B. tryoni
871a,Sale Victoria,B. tryoni
872a,Sale Victoria,B. tryoni
1295d,Tambo Upper Victoria,B. tryoni
1264a,Tambo Upper Victoria,B. tryoni
1342a,Tambo Upper Victoria,B. tryoni
1342b,Tambo Upper Victoria,B. tryoni
1342c,Tambo Upper Victoria,B. tryoni
1342d,Tambo Upper Victoria,B. tryoni
956a,Tambo Upper Victoria,B. tryoni
957a,Tambo Upper Victoria,B. tryoni
7237a,Hakatao French Polynesia,B. tryoni
7237b,Hakatao French Polynesia,B. tryoni
7237c,Hakatao French Polynesia,B. tryoni
7237d,Hakatao French Polynesia,B. tryoni
7237e,Hakatao French Polynesia,B. tryoni
7237f,Hakatao French Polynesia,B. tryoni
7237g,Hakatao French Polynesia,B. tryoni
7237h,Hakatao French Polynesia,B. tryoni
7237i,Hakatao French Polynesia,B. tryoni
7237j,Hakatao French Polynesia,B. tryoni
8022a,Darwin Northern Territory,B. tryoni
8022b,Darwin Northern Territory,B. tryoni
8022c,Darwin Northern Territory,B. tryoni
8022d,Darwin Northern Territory,B. tryoni
8022e,Darwin Northern Territory,B. tryoni
8022f,Darwin Northern Territory,B. tryoni
8022g,Darwin Northern Territory,B. tryoni
8023a,Alice Springs Northern Territory,B. tryoni
8023b,Alice Springs Northern Territory,B. tryoni
8023c,Alice Springs Northern Territory,B. tryoni
8023d,Alice Springs Northern Territory,B. tryoni
8023e,Alice Springs Northern Territory,B. tryoni
8023f,Alice Springs Northern Territory,B. tryoni
8023g,Alice Springs Northern Territory,B. tryoni
8023h,Alice Springs Northern Territory,B. tryoni
8023i,Alice Springs Northern Territory,B. tryoni
8023j,Alice Springs Northern Territory,B. tryoni
8023l,Alice Springs Northern Territory,B. tryoni
8023m,Alice Springs Northern Territory,B. tryoni
8023n,Alice Springs Northern Territory,B. tryoni
8023o,Alice Springs Northern Territory,B. tryoni
8434a,New Caledonia,B. tryoni
8434b,New Caledonia,B. tryoni
8434c,New Caledonia,B. tryoni
8434d,New Caledonia,B. tryoni
8433a,Tahiti,B. tryoni
8433b,Tahiti,B. tryoni
8433c,Tahiti,B. tryoni
8433d,Tahiti,B. tryoni
